rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
176,frame_0370.jpg,148.0,0.4285,0.601,0.4,0.04,10,4,False,False
177,frame_0324.jpg,129.6,0.4257,0.5794,0.4,0.08,8,4,False,False
178,frame_0082.jpg,32.8,0.4256,0.3993,0.3,0.68,6,3,False,False
179,frame_0027.jpg,10.8,0.4245,0.329,0.2,1.0,7,2,False,False
180,frame_0209.jpg,83.6,0.4215,0.435,0.2,0.72,5,2,False,False
181,frame_0322.jpg,128.8,0.4213,0.5986,0.3,0.16,9,3,False,False
182,frame_0009.jpg,3.6,0.4183,0.3765,0.1,1.0,2,1,False,False
183,frame_0172.jpg,68.8,0.4152,0.4304,0.4,0.4,6,4,False,False
184,frame_0101.jpg,40.4,0.4136,0.6152,0.3,0.08,6,3,False,False
185,frame_0085.jpg,34.0,0.4129,0.4218,0.3,0.56,6,3,False,False
186,frame_0205.jpg,82.0,0.4127,0.4175,0.2,0.72,3,2,False,False
187,frame_0201.jpg,80.4,0.4115,0.4791,0.2,0.56,3,2,False,False
188,frame_0210.jpg,84.0,0.4108,0.4895,0.1,0.68,2,1,False,False
189,frame_0296.jpg,118.4,0.4107,0.3854,0.3,0.64,6,3,False,False
190,frame_0323.jpg,129.2,0.4073,0.5265,0.4,0.12,8,4,False,False
191,frame_0192.jpg,76.8,0.4054,0.6109,0.2,0.2,6,2,False,False
192,frame_0194.jpg,77.6,0.405,0.458,0.4,0.28,6,4,False,False
193,frame_0093.jpg,37.2,0.4044,0.5328,0.3,0.24,7,3,False,False
194,frame_0393.jpg,157.2,0.4032,0.5504,0.4,0.04,5,4,False,False
195,frame_0090.jpg,36.0,0.4026,0.4812,0.3,0.36,5,3,False,False
196,frame_0112.jpg,44.8,0.4023,0.5446,0.3,0.2,5,3,False,False
197,frame_0232.jpg,92.8,0.4018,0.5436,0.3,0.2,6,3,False,False
198,frame_0084.jpg,33.6,0.398,0.4959,0.1,0.6,3,1,False,False
199,frame_0228.jpg,91.2,0.3949,0.5938,0.3,0.04,9,3,False,False
200,frame_0399.jpg,159.6,0.3881,0.5441,0.2,0.28,6,2,False,False
201,frame_0176.jpg,70.4,0.3875,0.499,0.3,0.24,8,3,False,False
202,frame_0098.jpg,39.2,0.387,0.6379,0.2,0.04,8,2,False,False
203,frame_0381.jpg,152.4,0.3852,0.5745,0.3,0.04,10,3,False,False
204,frame_0391.jpg,156.4,0.3852,0.4544,0.5,0.04,10,5,False,False
205,frame_0281.jpg,112.4,0.3845,0.4729,0.2,0.44,6,2,False,False
206,frame_0295.jpg,118.0,0.3805,0.4289,0.1,0.68,6,1,False,False
207,frame_0097.jpg,38.8,0.3802,0.4884,0.4,0.08,7,4,False,False
208,frame_0217.jpg,86.8,0.3794,0.4187,0.3,0.4,4,3,False,False
209,frame_0102.jpg,40.8,0.3788,0.4696,0.4,0.12,6,4,False,False
210,frame_0203.jpg,81.2,0.3766,0.3772,0.2,0.64,5,2,False,False
211,frame_0383.jpg,153.2,0.3749,0.4617,0.4,0.12,6,4,False,False
212,frame_0183.jpg,73.2,0.3748,0.6136,0.2,0.04,5,2,False,False
213,frame_0309.jpg,123.6,0.3687,0.5094,0.3,0.12,7,3,False,False
214,frame_0104.jpg,41.6,0.3682,0.5084,0.3,0.12,7,3,False,False
215,frame_0174.jpg,69.6,0.3681,0.5482,0.1,0.32,7,1,False,False
216,frame_0206.jpg,82.4,0.3669,0.3698,0.1,0.76,3,1,False,False
217,frame_0385.jpg,154.0,0.366,0.412,0.4,0.2,6,4,False,False
218,frame_0198.jpg,79.2,0.3654,0.4947,0.1,0.44,4,1,False,False
219,frame_0195.jpg,78.0,0.3635,0.4191,0.3,0.32,3,3,False,False
220,frame_0188.jpg,75.2,0.3618,0.5276,0.3,0.04,10,3,False,False
221,frame_0216.jpg,86.4,0.3607,0.4254,0.2,0.44,5,2,False,False
222,frame_0305.jpg,122.0,0.3606,0.4893,0.2,0.28,6,2,False,False
223,frame_0211.jpg,84.4,0.36,0.344,0.2,0.64,4,2,False,False
224,frame_0269.jpg,107.6,0.3585,0.5209,0.3,0.04,8,3,False,False
225,frame_0106.jpg,42.4,0.3571,0.5182,0.3,0.04,9,3,False,False
226,frame_0330.jpg,132.0,0.3567,0.5774,0.2,0.04,9,2,False,False
227,frame_0181.jpg,72.4,0.3543,0.5126,0.3,0.04,6,3,False,False
228,frame_0012.jpg,4.8,0.3541,0.2482,0.1,1.0,5,1,False,False
229,frame_0189.jpg,75.6,0.3526,0.5531,0.2,0.08,5,2,False,False
230,frame_0024.jpg,9.6,0.3521,0.3042,0.0,1.0,4,0,False,False
231,frame_0092.jpg,36.8,0.3508,0.4096,0.3,0.28,7,3,False,False
232,frame_0226.jpg,90.4,0.3498,0.5637,0.2,0.04,7,2,False,False
233,frame_0110.jpg,44.0,0.3467,0.4654,0.3,0.12,4,3,False,False
234,frame_0371.jpg,148.4,0.3403,0.4686,0.3,0.08,9,3,False,False
235,frame_0199.jpg,79.6,0.3401,0.3682,0.2,0.48,3,2,False,False
236,frame_0020.jpg,8.0,0.3394,0.2188,0.1,1.0,4,1,False,False
237,frame_0212.jpg,84.8,0.3391,0.3182,0.2,0.6,5,2,False,False
238,frame_0394.jpg,157.6,0.3369,0.4618,0.3,0.08,7,3,False,False
239,frame_0218.jpg,87.2,0.3314,0.3989,0.2,0.36,5,2,False,False
240,frame_0197.jpg,78.8,0.3295,0.4989,0.0,0.4,2,0,False,False
241,frame_0311.jpg,124.4,0.3276,0.4591,0.3,0.04,8,3,False,False
242,frame_0180.jpg,72.0,0.3262,0.3804,0.4,0.08,8,4,False,False
243,frame_0091.jpg,36.4,0.318,0.3881,0.2,0.32,6,2,False,False
244,frame_0220.jpg,88.0,0.3112,0.4504,0.1,0.28,5,1,False,False
245,frame_0224.jpg,89.6,0.3105,0.453,0.2,0.12,8,2,False,False
246,frame_0382.jpg,152.8,0.3089,0.4657,0.2,0.08,7,2,False,False
247,frame_0306.jpg,122.4,0.3015,0.4471,0.1,0.24,7,1,False,False
248,frame_0313.jpg,125.2,0.2838,0.4916,0.1,0.04,7,1,False,False
249,frame_0372.jpg,148.8,0.2705,0.433,0.1,0.12,6,1,False,False
250,frame_0191.jpg,76.4,0.2692,0.2944,0.3,0.16,5,3,False,False
251,frame_0196.jpg,78.4,0.2665,0.3889,0.0,0.36,3,0,False,False
252,frame_0103.jpg,41.2,0.2632,0.4025,0.1,0.16,6,1,False,False
253,frame_0111.jpg,44.4,0.2579,0.3917,0.1,0.16,5,1,False,False
254,frame_0272.jpg,108.8,0.2365,0.3811,0.1,0.08,7,1,False,False
255,frame_0190.jpg,76.0,0.2302,0.4125,0.0,0.12,3,0,False,False
256,frame_0271.jpg,108.4,0.2175,0.3589,0.1,0.04,5,1,False,False
